1,169090, | | | | | | | | | | | | | | | | | | | | | | | |,,
0,0,,,
38,134231,NIT-X AI|NIT-A ECE|NIT-W CIVIL|NIT-B IT|NIT-X AI|NIT-A ECE|NIT-W CIVIL|NIT-B IT|NIT-X AI|NIT-A ECE|NIT-W CIVIL|NIT-B IT|,,
39,214761,NIT-B CIVIL|NIT-W AI|NIT-B MECH|NIT-B CIVIL|NIT-W AI|NIT-B MECH|NIT-B CIVIL|NIT-W AI|NIT-B MECH|,NIT-B,CIVIL
40,532174,NIT-X CIVIL|NIT-A IT|NIT-Y IT|NIT-W CIVIL|NIT-B ECE|,NIT-A,IT
41,838921,NIT-A CIVIL|NIT-W AI|NIT-Y EEE|,NIT-Y,EEE
42,440406,NIT-Y IT|NIT-A MECH|,,
43,316358,NIT-W AI|NIT-A CIVIL|NIT-W AI|NIT-A CIVIL|NIT-W AI|NIT-A CIVIL|,,
44,520978,NIT-W CIVIL|NIT-A MECH|NIT-Y CIVIL|NIT-B AI|NIT-X ECE|,NIT-B,AI
45,223484,NIT-Y EEE|NIT-B MECH|NIT-W ECE|NIT-A IT|NIT-W AI|NIT-B CIVIL|NIT-W EEE|NIT-X MECH|NIT-A CIVIL|NIT-A CSE|,NIT-B,MECH
46,371680,NIT-A IT|NIT-A IT|NIT-A IT|,,
47,635330,NIT-A IT|NIT-W AI|NIT-Y EEE|,,
48,670452,NIT-B CIVIL|NIT-X MECH|,NIT-B,CIVIL
49,620781,NIT-W EEE|NIT-W EEE|NIT-W EEE|,,
50,706360,NIT-A CSE|NIT-W AI|NIT-Y EEE|,,
51,405879,NIT-W AI|NIT-Y CIVIL|NIT-A EEE|,,
52,271444,,,
53,317111,NIT-X MECH|,NIT-X,MECH
54,553339,NIT-A IT|NIT-B CIVIL|NIT-A CSE|NIT-A IT|NIT-B CIVIL|NIT-A CSE|NIT-A IT|NIT-B CIVIL|NIT-A CSE|,,
55,681062,NIT-A CIVIL|NIT-B AI|NIT-W AI|NIT-X MECH|,NIT-X,MECH
56,778770,NIT-W AI|NIT-B CIVIL|NIT-W AI|NIT-B CIVIL|NIT-W AI|NIT-B CIVIL|,,
57,151037,,,
58,199891,NIT-B IT|NIT-X MECH|NIT-W AI|NIT-W ECE|NIT-Y EEE|NIT-B MECH|NIT-W EEE|NIT-A CSE|NIT-B CIVIL|NIT-A IT|,NIT-W,ECE
